name;Vitamin A Retinoläquivalent;Vitamin A Retinol;Vitamin A Beta-Carotin;Vitamin B1 Thiamin;Vitamin B2 Riboflavin;Vitamin B3 Niacin, Nicotinsäure;Vitamin B3 Niacinäquivalent;Vitamin B5 Pantothensäure;Vitamin B6 Pyridoxin;Vitamin B7 Biotin (Vitamin H);Vitamin B9 gesamte Folsäure;Vitamin B12 Cobalamin;Vitamin C Ascorbinsäure;Vitamin D Calciferole;Vitamin E Tocopherole;Vitamin K
Erdnuss roh;2;0;0;900;0;155;15400;20733;2900;440;34;169;0;0;10027;0
Apfelmus (Zubereitung Haushalt);31;0;6;17;0;17;110;143;58;28;0,7;3;5414;0;359;3
Buchweizenbrot;4;3;4;252;0;95;1761;2978;493;192;4;24;1;0;463;16
Heidelbeere tiefgefroren;32;0;6;19;0;19;376;409;150;56;1;6;25063;0;1945;9
Schwein Schinken roh geräuchert (Lachsschinken);0;5;5;694;1;169;2299;5666;401;499;2;2;0;0;219;15
Graubrot-Roggenbrot mit Käse;4;8;9;156;0,1;105;1164;2297;570;186;3,9;44;0;0;549;31
Blumenkohl tiefgefroren;11;0;2;78;0;91;595;1262;1057;176;2,2;40;49371;0;77;34
Dinkelbrötchen;1;0;0;370;0;172;2185;4152;738;214;13,7;81;26;0;3525;0
Cocktailtomaten;0;600;100;100;0;0;500;600;300;100;4;33;19300;0;0;0
Käsespätzle (Zubereitung Haushalt);18;86;89;25;0,6;80;160;1793;330;56;4,4;14;158;0,7;837;27
Knäckebrot-Roggenbrot;0;0;0;253;0;159;1900;3517;915;301;6;70;0;0;880;49
Gurkensalat mit Joghurt (Zubereitung Haushalt);325;7;61;24;0,1;65;178;395;251;38;1,4;17;6366;0;2283;12
Müsli-Riegel;109;0;18;253;0;121;839;2272;572;141;13,8;28;1842;0;7260;20
Schwein Rückenspeck;0;0;0;130;0,3;80;1580;2447;0;0;0;0;0;0;760;0
Reisdrink;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0,1
Rostbratwurst;1;3;3;645;1;182;2453;5470;442;383;2;2;68;0;332;12
Traubenzucker;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mungobohnen reif;36;0;6;490;0;230;2300;6917;3500;500;7,5;140;3000;0;1900;130
Laugengebäck;13;9;11;82;0;67;476;2026;295;75;1;9;1;0;658;11
Rind Mark;0;0;0;0;0;0;0;283;0;0;0;0;0;0;0;0
Erdbeerkonfitüre;9;0;2;3;0;5;55;138;33;7;0;1;2395;0;22;3
Brathähnchen Brustfilet gekocht;0;17;17;43;0,2;96;7047;11630;564;356;1,6;5;0;0;154;0
Tiroler;0;7;7;749;2;241;3562;7862;603;503;2;3;23809;0;282;17
Tomatensoße aus frischen Tomaten (Zubereitung Haushalt);138;20;43;16;0;16;166;299;91;32;0,9;8;5066;0,1;786;8
Rind Milz frisch;0;95;95;130;5,1;300;3900;7317;1200;120;5,7;10;41000;0;200;0
Auberginenscheiben gebraten (Zubereitung Haushalt);81;34;48;34;0;42;559;809;203;73;0,9;21;3574;0,2;1142;8
Getreideerzeugnisse Frühstückscerealien;58;0;10;424;0;138;2256;4139;864;279;11,6;44;1732;0;3436;31
Krakauer;60;6;16;375;2;181;2835;5702;383;232;1;2;21816;0;285;10
Grünkohl tiefgefroren;5385;0;898;88;0;247;2072;3022;1042;219;1;46;80596;0;1864;274
Aubergine frisch;43;0;7;38;0;44;600;783;230;80;0,8;31;5000;0;30;5
Porree frisch;1000;0;167;86;0;68;530;797;140;250;1,6;56;24000;0;529;200
Kidney-Bohnen Konserve gegart abgetropft;3;0;1;48;0;28;240;1140;45;35;1,3;19;241;0;117;0
Grapefruit frisch;15;0;3;48;0;24;240;307;250;28;0,4;11;44000;0;250;3
Banane;230;0;38;44;0;57;650;950;230;370;5,5;20;12000;0;270;10
Stachelbeere frisch;210;0;35;20;0;20;250;383;200;15;0,5;8;35000;0;621;10
