"";"Isoleucin";"Leucin";"Lysin";"Methionin";"Cystein";"Phenylalanin";"Tyrosin";"Threonin";"Tryptophan";"Valin";"Arginin";"Histidin";"Essentielle Aminosäuren";"Alanin";"Asparaginsäure";"Glutaminsäure";"Glycin";"Prolin";"Serin";"Nichtessentielle Aminosäuren";"Harnsäure";"Purin"
"Lachsschinkenpastete";966;1041;1615;212;9002;2819;913;118;596;804;1232;1483;437;7863;706;791;39;759;769;193;629;900
"Mais-Fladenbrot";390;214;323;79;2426;981;187;18;140;187;651;135;99;2600;250;464;6;255;187;37;197;250
"Roggen Vollkorn";414;441;612;162;3627;2331;405;70;162;333;594;351;126;5193;414;1035;23;396;315;90;180;459
"Schwein Schinken gekocht geräuchert";1071;1150;1792;233;9992;3115;1013;138;662;896;1362;1657;487;8705;779;876;46;838;858;215;701;992
"Blattspinat tiefgefroren";141;148;238;31;1343;312;127;60;58;127;212;172;47;1037;132;113;20;106;119;40;106;151
"Weißkohl (Weißkraut) gegart";51;96;108;15;480;270;32;21;25;38;65;59;13;773;38;242;7;70;44;13;23;51
"Maiskeimöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brathähnchen Brustfilet roh";1339;1562;2231;322;12939;3719;1215;180;744;1289;1859;2157;644;10612;992;1116;60;992;1041;273;867;1189
"Schweineschmalz, -fett";6;6;9;1;51;16;5;0;3;5;7;8;3;45;4;5;0;4;4;1;4;5
"Plockwurst einfach";1240;1322;2014;254;11317;3470;1072;100;736;1037;1591;1858;541;9629;873;949;33;884;953;239;766;1147
"Hirse ganzes Korn roh";1116;304;529;128;4243;1910;255;66;166;460;1146;226;206;5358;382;911;22;637;343;147;226;509
"Butterschmalz";8;8;19;2;130;51;5;0;6;15;22;18;6;119;12;23;0;13;10;3;12;16
"Frikadelle (Zubereitung Gastronomie)";1091;1181;1755;241;10036;3037;884;114;613;942;1437;1554;476;8422;802;843;38;812;839;216;673;1062
"Kalb Leber roh";1110;940;1660;220;9370;2230;1100;460;530;850;1510;1350;410;7950;850;940;153;910;820;240;570;1080
"Stockwurst";973;1031;1545;188;8717;2637;780;101;558;814;1258;1417;411;7278;667;702;34;641;723;181;572;897
"Bier";24;14;28;5;131;74;20;10;10;10;16;14;4;228;10;66;3;16;12;8;8;20
"Camembert Doppelrahmstufe";454;554;1042;84;8735;3511;269;10;437;974;1596;1193;386;7981;773;1831;3;874;689;218;773;1058
"Schwein Filet (mager) frisch gegart";1710;1835;2861;373;15955;4976;1617;212;1057;1431;2177;2645;777;13900;1244;1399;71;1337;1368;342;1120;1586
"Schnittkäse";670;818;1538;99;12895;5183;397;10;570;1265;2357;1860;570;11781;1215;2703;3;1290;1017;322;1240;1562
"Debreziner Konserve";802;850;1288;159;7232;2201;665;74;467;670;1032;1177;344;6098;556;594;25;548;605;151;482;739
