name;Kategorie;Energie (kcal);Fett;Kohlenhydrate;Netto-Kohlenhydrate;Eiweiß, Proteingehalt;Ballaststoffe;Wasser;Alkohol (Ethanol);Mineralstoffe (Rohasche);organische Säuren;PRAL-Wert
Milchreis (Zubereitung Gastronomie);Menükomponenten;129;2,9;21,4;21,4;3,9;0,3;70,7;0;0,7;0,2;0,8
Reisbrot;Brot- und Kleingebäck;235;1,7;47;NA;7,2;3,6;38,5;0;2,1;0;4,5
Weizenkeimöl;Fette, Öle, Butter, Schmalz;879;99,5;0;NA;0;0;0,5;0;0;0;0
Pinienkern;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;575;50,7;7,3;7,3;24;7,2;6,4;0;4,4;0;11,6
Dattel frisch;Früchte, Obst und Obsterzeugnisse;280;0,5;65;NA;2;8,7;21,4;0;1,2;1,3;12,6
Hirse Korn geschält roh;Cerealien, Getreide und Getreideprodukte, Reis;357;3,9;68,8;68,8;10,6;3,9;10,5;0;1,6;0;8,4
Edelkastanien (Maronen) geröstet;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;261;10,9;37,8;37,8;2,7;7,7;39,9;0;1,1;0;10,8
Tee grün (Getränk);Alkoholfreie Getränke;0;0;0;NA;0,1;0;99,8;0;0,1;0;0,5
Schlackwurst;Wurst, Fleischwaren;391;36,5;0,6;0,6;16,4;0;42,8;0;3,8;0;6,7
Brathähnchen Brustfilet gebraten (zubereitet ohne Fett);Fleisch (Wild, Geflügel, Federwild, Innereien);115;0,7;0;NA;26,8;0;71,3;0;1,2;0;14,8
Graubrot-Roggenmischbrot mit Sonnenblumenkernen;Brot- und Kleingebäck;226;2,9;42,9;42,9;6,4;4,8;41,1;0;1,7;0,1;3
Wassermelone roh;Früchte, Obst und Obsterzeugnisse;38;0,2;8,3;8,3;0,6;0,2;90,2;0;0,4;0,1;-2
Knäckebrot-Roggenmischbrot mit Leinsamen;Brot- und Kleingebäck;343;3,3;66,9;66,9;10,2;9,6;7;0;2,7;0,1;5,2
Rind Niere frisch;Fleisch (Wild, Geflügel, Federwild, Innereien);96;3,3;0,9;0,9;15,7;0;78,9;0;1,2;0;11,4
Porree frisch gegart;Gemüse und Gemüseerzeugnisse;23;0,3;2,5;2,4;2,3;2,3;90,8;0;0,8;0,2;1,5
Kartoffeln ungeschält roh;Kartoffeln und Kartoffelerzeugnisse, stärkereiche Pflanzenteile, Pilze;73;0;15,6;15,6;1,9;1,2;79,6;0;1;0,6;6,6
Haselnuss geröstet;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;671;66,7;5,4;5,4;14,8;7;3,8;0;2,3;0;2,9
Dattel;Früchte, Obst und Obsterzeugnisse;280;0,5;65;NA;2;8,7;21,4;0;1,2;1,3;12,6
Kümmelwurst Rohwurst;Wurst, Fleischwaren;308;27,8;0,2;0,2;15,2;0;53,2;0;3,6;0;6,5
