"";"Butansäure/Buttersäure";"Hexansäure/Capronsäure";"Octansäure/Caprylsäure";"Decansäure/Caprinsäure";"Dodecansäure/Laurinsäure";"Tetradecansäure/Myristinsäure";"Pentadecansäure";"Hexadecansäure/Palmitinsäure";"Heptadecansäure";"Octadecansäure/Stearinsäure";"Eicosansäure/Arachinsäure";"Decosansäure/Behensäure";"Tetracosansäure/Lignocerinsäure";"Gesättigte Fettsäuren";"Tetradecensäure";"Pentadecensäure";"Hexadecensäure/Palmitoleinsäure";"Heptadecensäure";"Octadecensäure/Ölsäure";"Eicosensäure";"Decosensäure/Erucasäure";"Tetracosensäure/Nervonsäure";"Einfach ungesättigte Fettsäuren";"Hexadecadiensäure";"Hexadecatetraensäure";"Octadecadiensäure/Linolsäure omega-6";"ALA - Linolensäure/Octadecatriensäure omega-3";"Octadecatetraensäure/Stearidonsäure omega-3";"Nonadecatriensäure";"Eicosadiensäure omega-6";"Eicosatriensäure omega-3";"Eicosatetraensäure/Arachidonsäure omega-6";"EPA - Eicosapentaensäure omega-3";"Docosadiensäure omega-6";"Docosatriensäure omega-6";"Docosatetraensäure omega-6";"Docosapentaensäure omega-3";"DHA - Docosahexaensäure omega-3";"Mehrfach ungesättigte Fettsäuren";"Kurzkettige Fettsäuren";"Mittelkettige Fettsäuren";"Langkettige Fettsäuren";"Glycerin und Lipoide";"Cholesterin"
"Laugengebäck";0;0;0;22;23;89;0;0;0;0;0;73;0;29;0;0;90;665;0;776;367;7;0;0;387;0;76;1;1;2193;802;49;11;0;125;0;409;27;3;0;0;0;79;1
"Rind Mark";0;0;64;0;0;0;0;0;0;0;0;90;0;0;0;0;179;46852;0;39774;4418;985;0;0;23560;0;5912;0;0;89582;2956;0;0;0;11646;0;39059;0;537;0;0;0;2956;1702
"Erdbeerkonfitüre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;9;29;0;0;0;7;0;0;0;0;118;86;0;0;0;2;0;23;0;0;0;0;0;0;0
"Brathähnchen Brustfilet gekocht";0;0;69;1;1;0;0;0;0;0;0;1;0;1;0;0;4;172;0;131;24;1;1;0;93;0;22;0;0;406;104;1;0;0;28;0;143;0;1;0;0;0;4;2
"Tiroler";0;0;70;0;0;26;0;0;0;0;0;10;0;4;0;0;42;3167;0;2556;404;35;9;0;1527;0;275;0;0;6255;532;0;0;0;826;0;2769;0;18;0;0;1;136;45
"Tomatensoße aus frischen Tomaten (Zubereitung Haushalt)";0;9;1;9;0;120;0;0;0;0;0;35;0;26;0;0;134;1373;0;882;162;2;2;0;505;0;100;5;14;2965;739;15;0;0;187;0;1012;6;3;2;0;0;95;3
"Rind Milz frisch";0;0;263;0;0;0;0;0;0;0;0;8;0;0;0;0;0;646;0;784;651;16;16;0;406;0;89;0;0;1619;189;0;0;0;291;0;531;0;11;10;0;0;52;0
"Auberginenscheiben gebraten (Zubereitung Haushalt)";0;0;0;5;0;237;0;0;0;0;0;53;0;48;0;0;263;2548;0;1443;290;0;0;0;870;0;186;0;0;5421;1440;10;0;0;325;0;1862;5;0;0;0;0;137;0
"Getreideerzeugnisse Frühstückscerealien";0;0;0;0;4;1;0;0;0;0;0;3;0;23;0;0;9;3540;0;914;596;0;0;0;732;0;24;0;0;6670;2216;0;0;0;134;0;3506;0;0;0;1;0;17;0
"Krakauer";0;0;58;0;0;0;0;0;0;0;0;46;0;12;0;0;190;12485;0;9837;1559;74;19;0;5928;0;939;0;0;24937;2615;0;0;0;3303;0;11260;0;35;0;0;0;439;77
"Grünkohl tiefgefroren";0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;87;0;136;197;0;0;0;122;0;8;0;0;790;567;0;0;0;5;0;79;0;0;0;0;0;5;0
"Aubergine frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;39;36;0;0;0;29;0;2;0;0;144;87;0;0;0;10;0;16;0;0;0;0;0;0;0
"Porree frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;57;68;0;0;0;54;0;0;0;0;272;207;0;0;0;3;0;8;0;0;0;0;0;0;0
"Kidney-Bohnen Konserve gegart abgetropft";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;42;79;0;0;0;38;0;0;0;0;273;205;0;0;0;4;0;26;0;0;0;0;0;0;0
"Grapefruit frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;31;30;0;0;0;29;0;2;0;0;120;58;0;0;0;2;0;29;0;0;0;0;0;0;0
"Banane";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;23;0;68;36;0;0;0;60;0;3;0;0;143;53;1;0;0;5;0;20;0;0;0;0;0;1;0
"Stachelbeere frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;16;40;0;0;0;12;0;2;0;0;160;123;0;0;0;4;0;19;0;0;0;0;0;0;0
