"";"Butansäure/Buttersäure";"Hexansäure/Capronsäure";"Octansäure/Caprylsäure";"Decansäure/Caprinsäure";"Dodecansäure/Laurinsäure";"Tetradecansäure/Myristinsäure";"Pentadecansäure";"Hexadecansäure/Palmitinsäure";"Heptadecansäure";"Octadecansäure/Stearinsäure";"Eicosansäure/Arachinsäure";"Decosansäure/Behensäure";"Tetracosansäure/Lignocerinsäure";"Gesättigte Fettsäuren";"Tetradecensäure";"Pentadecensäure";"Hexadecensäure/Palmitoleinsäure";"Heptadecensäure";"Octadecensäure/Ölsäure";"Eicosensäure";"Decosensäure/Erucasäure";"Tetracosensäure/Nervonsäure";"Einfach ungesättigte Fettsäuren";"Hexadecadiensäure";"Hexadecatetraensäure";"Octadecadiensäure/Linolsäure omega-6";"ALA - Linolensäure/Octadecatriensäure omega-3";"Octadecatetraensäure/Stearidonsäure omega-3";"Nonadecatriensäure";"Eicosadiensäure omega-6";"Eicosatriensäure omega-3";"Eicosatetraensäure/Arachidonsäure omega-6";"EPA - Eicosapentaensäure omega-3";"Docosadiensäure omega-6";"Docosatriensäure omega-6";"Docosatetraensäure omega-6";"Docosapentaensäure omega-3";"DHA - Docosahexaensäure omega-3";"Mehrfach ungesättigte Fettsäuren";"Kurzkettige Fettsäuren";"Mittelkettige Fettsäuren";"Langkettige Fettsäuren";"Glycerin und Lipoide";"Cholesterin"
"Hühnerei Vollei frisch";0;0;0;0;0;28;0;2417;0;837;46;0;0;3328;0;0;372;0;4089;0;0;0;4461;0;0;1023;279;0;0;0;0;93;0;0;0;0;0;112;1507;0;0;9296;1904;396
"Gnocchi gekocht";0;0;19;0;0;0;0;0;0;0;0;0;0;3;0;0;1;168;0;135;97;0;0;0;105;0;15;0;0;444;141;0;0;0;25;0;152;0;0;0;0;0;2;0
"Kopfsalat mit Essigmarinade (Zubereitung Haushalt)";0;0;0;0;75;11;0;0;0;0;0;0;0;43;0;0;21;2502;0;1327;523;0;0;0;662;0;12;0;0;10796;6967;0;0;0;515;0;2458;0;0;0;21;0;11;0
"Salami Kroatische Art";0;0;90;0;0;0;0;0;0;0;0;47;0;3;0;0;193;11671;0;8889;1308;8;3;0;5394;0;754;0;0;23381;2821;0;0;0;3126;0;10721;0;3;0;0;0;308;0
"Suppenhuhn Fleisch (mittelfett) frisch";0;0;94;19;19;0;0;0;0;0;0;19;0;19;0;0;115;9248;0;6828;1117;38;19;0;5103;0;1381;0;0;19164;3107;19;0;0;1362;0;7714;0;19;0;0;0;230;19
"Lyoner Wurst";0;0;67;0;0;0;0;0;0;0;0;45;0;12;0;0;207;11335;0;8780;1256;21;12;0;5335;0;722;0;0;22829;2714;0;0;0;3015;0;10394;0;12;0;0;0;340;0
"Marzipan Rohmasse";0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;34;23972;0;2920;1606;0;0;0;2181;0;212;0;0;33559;6667;0;0;0;627;0;23726;0;0;0;0;0;56;0
"Weintraube weiß frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;118;0;0;0;0;102;0;0;0;0;0;0;0;0;0;13;0;15;0;0;0;0;0;3;0
"Kleber (Gluten)";0;0;0;0;0;0;0;0;0;0;0;0;0;230;0;0;0;202;0;806;1120;0;0;0;562;0;0;0;0;2880;1872;0;0;0;14;0;202;0;0;0;0;0;0;0
"Rhabarber frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;25;20;0;0;0;21;0;0;0;0;80;50;0;0;0;4;0;5;0;0;0;0;0;0;0
"Papaya";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;25;0;27;18;0;0;0;20;0;13;0;0;72;20;0;0;0;1;0;12;0;0;0;0;0;5;0
"Tomatensoße mit Tomatenmark (Zubereitung Gastronomie)";0;245;22;184;0;0;0;0;0;0;0;226;0;35;0;0;20;2556;0;4697;496;65;70;0;2084;0;203;156;401;7009;429;272;0;0;790;0;2118;88;83;48;0;0;741;97
"Geflügel Döner";0;5;38;7;5;14;0;0;0;0;0;17;0;13;0;0;20;1254;0;612;266;4;2;0;403;0;54;3;8;2297;452;13;2;0;113;0;1160;6;2;1;1;0;33;3
"Walnüsse geröstet";0;0;0;0;43;17;0;0;0;0;0;0;0;465;0;0;562;14214;0;6816;3126;9;0;0;4308;0;151;0;0;62746;41716;0;0;0;1309;0;13398;0;0;0;43;86;639;0
"Gouda mind. 45% Fett i. Tr.";0;1060;67;980;7;0;0;0;0;0;0;1540;0;14;0;0;13;6743;0;19899;1694;177;61;0;8470;0;806;680;1740;24093;631;1440;0;0;2535;0;5525;460;318;2;13;0;3645;335
"Haferflockenbrei (Zubereitung Haushalt)";0;133;48;100;0;0;0;0;0;0;0;122;0;26;0;0;8;1805;0;2782;421;34;37;0;1336;0;131;85;218;4757;536;148;0;0;454;0;1552;48;45;25;0;0;399;52
"Kefir entrahmt";0;3;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;30;0;61;6;1;1;0;27;0;2;2;5;85;3;4;0;0;10;0;25;1;1;1;0;0;10;1
"Lachsschinkenpastete";0;0;57;0;0;0;0;0;0;0;0;37;0;23;0;0;188;9443;0;7121;1167;39;20;0;4395;0;585;0;0;18779;2215;0;0;0;2345;0;8650;0;20;0;0;0;262;0
"Mais-Fladenbrot";0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;393;0;204;247;0;0;0;172;0;4;0;0;1519;922;0;0;0;28;0;389;0;0;0;0;0;0;0
"Roggen Vollkorn";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;10;184;0;238;476;0;0;0;228;0;6;0;0;1224;802;0;0;0;7;0;168;0;0;0;0;0;1;0
"Schwein Schinken gekocht geräuchert";0;0;53;0;0;0;0;0;0;0;0;7;0;7;0;0;46;1954;0;1504;386;20;7;0;940;0;140;0;0;3901;443;0;0;0;460;0;1761;0;7;0;0;0;63;0
"Blattspinat tiefgefroren";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;38;63;0;0;0;31;0;5;0;0;252;190;0;0;0;5;0;19;0;0;0;0;0;2;0
"Weißkohl (Weißkraut) gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;37;37;0;0;0;33;0;4;0;0;150;102;0;0;0;4;0;7;0;0;0;0;0;0;0
"Maiskeimöl";0;0;1;0;96;191;0;0;0;0;0;0;0;287;0;0;191;25500;0;14710;4396;0;0;0;11461;0;287;0;0;95504;55294;0;0;0;2197;0;24831;0;0;0;96;0;573;0
"Brathähnchen Brustfilet roh";0;0;62;1;1;0;0;0;0;0;0;1;0;1;0;0;7;282;0;211;39;1;1;0;152;0;36;0;0;660;168;1;0;0;46;0;234;0;1;0;0;0;7;4
"Schweineschmalz, -fett";0;0;86;95;0;0;0;0;0;0;0;191;0;286;0;0;763;45177;0;39365;4387;191;0;0;23638;0;2859;0;0;95218;10771;95;0;0;13630;0;41364;0;0;0;0;0;1334;191
"Plockwurst einfach";0;0;70;0;0;0;0;0;0;0;0;72;0;35;0;0;349;18323;0;14460;1984;78;38;0;8828;0;1205;0;0;36932;4149;0;0;0;4842;0;16692;0;46;0;0;0;559;39
"Hirse ganzes Korn roh";0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;755;0;802;504;0;0;0;607;0;15;0;0;3096;1539;0;0;0;155;0;740;0;0;0;0;0;9;0
"Butterschmalz";0;3385;340;2539;0;0;0;0;0;0;0;3103;0;470;0;0;188;29994;0;60366;5473;846;940;0;25952;0;2445;2163;5548;84718;3667;3761;0;0;9497;0;24447;1222;1128;658;0;0;10061;1316
"Frikadelle (Zubereitung Gastronomie)";0;0;98;2;0;67;0;0;0;0;0;24;0;25;0;0;108;3695;0;2828;680;25;12;0;1739;0;290;0;0;7571;1052;4;0;0;857;0;3193;2;12;0;0;0;142;25
"Kalb Leber roh";0;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;2;204;0;348;297;5;6;0;142;0;17;0;0;854;302;0;0;0;192;0;179;0;2;0;0;0;7;0
"Stockwurst";0;0;56;0;0;0;0;0;0;0;0;31;0;22;0;0;143;10327;0;8598;1067;144;26;0;5190;0;952;0;0;20435;1510;0;0;0;2642;0;9018;0;80;0;0;0;489;188
"Bier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Camembert Doppelrahmstufe";0;1129;93;847;0;0;0;0;0;0;0;1035;0;157;0;0;63;10009;0;20142;1826;282;314;0;8660;0;816;722;1851;28268;1223;1255;0;0;3169;0;8157;408;376;220;0;0;3357;439
"Schwein Filet (mager) frisch gegart";0;0;87;0;0;0;0;0;0;0;0;4;0;4;0;0;24;994;0;769;197;10;4;0;480;0;72;0;0;1989;226;0;0;0;235;0;894;0;4;0;0;0;32;0
"Schnittkäse";0;963;0;722;0;0;0;0;0;0;0;883;0;134;0;0;53;8529;0;17171;0;241;267;0;7381;0;695;615;0;0;0;0;0;0;2701;0;6953;348;321;187;0;0;2862;374
"Debreziner Konserve";0;0;51;0;0;0;0;0;0;0;0;56;0;14;0;0;237;14571;0;11337;1826;64;19;0;6866;0;1041;0;0;29152;3244;0;0;0;3849;0;13220;0;30;0;0;0;458;54
"Zucchini gedünstet mit Knoblauch (Zubereitung Haushalt)";0;58;5;44;0;0;0;0;0;0;0;57;0;8;0;0;3;548;0;1141;173;15;16;0;532;0;44;37;95;1766;239;67;0;0;173;0;451;23;19;11;0;0;175;23
"Eier gekocht, gesalzen (Zubereitung Haushalt)";0;0;395;0;0;0;0;0;0;0;0;0;0;46;0;0;0;4445;0;3317;1898;0;0;0;2409;0;371;0;0;9265;1503;0;0;0;834;0;4074;0;0;0;0;0;28;0
"Rind Leber roh";0;0;257;0;27;0;0;0;0;0;0;3;0;8;0;0;8;587;0;1343;948;16;33;0;466;0;38;0;0;2712;782;0;0;0;785;0;483;0;14;22;0;0;24;3
"Krabbe klein (Shrimps) gegart";0;0;145;1;0;18;0;0;0;0;0;10;0;0;0;0;21;306;0;240;452;5;10;0;163;0;58;0;0;1054;510;2;0;0;28;0;199;1;6;0;0;0;26;0
"Wildreis gekocht";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;93;0;87;55;0;0;0;75;0;0;0;0;312;132;0;0;0;8;0;93;0;0;0;0;0;3;0
"Sülzwurst hervorhebend";0;0;74;0;0;0;0;0;0;0;0;15;0;11;0;0;81;3728;0;2908;721;31;13;0;1790;0;262;0;0;7580;944;0;0;0;930;0;3372;0;12;0;0;0;119;0
"Geflügelbratwurst";0;0;45;0;0;1;0;0;0;0;0;6;0;1;0;0;17;1132;0;1111;167;2;20;0;656;0;57;0;0;2660;417;0;0;0;400;0;1037;0;1;0;3;0;42;0
"Weißer Preßkopf";0;0;79;0;0;0;0;0;0;0;0;25;0;5;0;0;101;6717;0;5257;800;33;8;0;3174;0;495;0;0;13407;1433;0;0;0;1781;0;6076;0;17;0;0;0;222;37
"Rind Hackfleisch frisch";0;0;58;0;0;0;0;0;0;0;0;13;0;4;0;0;25;6683;0;5793;699;142;14;0;3397;0;809;0;0;12931;455;0;0;0;1739;0;5603;0;76;0;0;0;422;232
"Sülzkotelett";0;0;47;0;0;0;0;0;0;0;0;7;0;8;0;0;40;1978;0;1598;404;23;12;0;978;0;144;0;0;3999;423;0;0;0;501;0;1775;0;9;0;0;0;72;7
"Gänseleberkäse getrüffelt";0;0;391;0;11;0;0;0;0;0;0;21;0;7;0;0;103;5972;0;5010;1383;13;7;0;3021;0;411;0;0;12858;1876;0;0;0;1773;0;5451;0;7;0;0;0;157;0
"Pommes frites mit Ketchup";0;0;0;86;92;370;0;0;0;0;0;308;0;92;0;0;370;2269;0;2609;295;31;0;0;1055;0;308;6;6;5724;1049;197;49;0;495;0;1215;111;6;0;0;0;327;6
"Mango tiefgefroren";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;176;0;112;94;0;0;0;90;0;83;0;0;376;88;0;0;0;5;0;93;0;0;0;0;0;16;0
"Zwiebeln gebraten (zubereitet ohne Fett)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;88;46;0;0;0;62;0;0;0;0;216;98;0;0;0;25;0;30;0;0;0;0;0;1;0
"Schnittkäse Vollfettstufe";0;919;56;689;0;0;0;0;0;0;0;842;0;128;0;0;51;8138;0;16382;1485;230;255;0;7041;0;663;587;1506;22988;995;1021;0;0;2577;0;6634;332;306;178;0;0;2731;357
"Zucker braun Rohzucker";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schinkenwurst Krakauer Art roh";0;0;59;0;0;0;0;0;0;0;0;50;0;13;0;0;217;12436;0;9576;1595;34;17;0;5817;0;822;0;0;24952;2940;0;0;0;3296;0;11374;0;14;0;0;0;352;6
"Quark mit Kräutern Fettstufe";0;153;14;115;0;0;0;0;0;0;0;140;0;21;0;0;8;1368;0;2767;294;38;42;0;1207;0;114;98;251;4016;302;170;0;0;433;0;1115;55;51;30;0;0;456;59
"Pastete im Brotteig";0;0;67;0;0;0;0;0;0;0;0;29;0;21;0;0;159;7215;0;5697;858;36;21;0;3514;0;453;0;0;14596;1684;0;0;0;1862;0;6582;0;21;0;0;0;214;0
"Schwein Leber gegart";0;0;438;0;35;0;0;0;0;0;0;7;0;12;0;0;5;626;0;1818;1233;38;7;0;608;0;45;0;0;3986;1542;0;0;0;952;0;569;0;7;0;139;0;20;0
"Lauchzwiebel roh";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;71;60;0;0;0;65;0;0;0;0;240;131;0;0;0;5;0;38;0;0;0;0;0;1;0
"Kartoffelpüree (Zubereitung Gastronomie)";0;188;17;142;0;0;0;0;0;0;0;176;0;26;0;0;11;1674;0;3394;324;47;52;0;1459;0;138;120;308;4795;245;210;0;0;533;0;1363;68;63;37;0;0;572;73
"Aprikose Konfitüre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;0;5;19;0;0;0;5;0;44;0;0;112;19;0;0;0;0;0;44;0;0;0;0;0;0;0
"Klarer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gerste Perlgraupen";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;122;0;251;381;0;0;0;230;0;8;0;0;979;606;0;0;0;10;0;113;0;0;0;0;0;10;0
"Lakritze";0;0;0;9;0;0;0;0;0;0;0;26;0;2;0;0;6;146;0;202;261;0;0;0;133;0;16;0;0;620;286;14;0;0;14;0;124;5;0;0;0;0;13;0
"Westfälische grobe Mettwurst";0;0;75;0;0;0;0;0;0;0;0;54;0;12;0;0;240;13466;0;10283;1712;31;12;0;6272;0;888;0;0;26970;3221;0;0;0;3532;0;12326;0;12;0;0;0;370;0
"Helle Zungenwurst Konserve";0;0;68;3;0;0;0;0;0;0;0;51;0;11;0;0;190;10596;0;7919;1244;18;9;0;4883;0;689;0;0;21065;2553;3;0;0;2642;0;9708;0;9;0;0;0;302;0
"Schalotte roh";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;47;40;0;0;0;43;0;0;0;0;160;87;0;0;0;3;0;26;0;0;0;0;0;1;0
"Cornflakes mit Zucker, Honig geröstet";0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;199;0;72;77;0;0;0;54;0;5;0;0;467;196;0;0;0;10;0;194;0;0;0;0;0;0;0
"Haferdrink";0;0;0;0;2,5;2,8;0;0;0;0;0;0,6;0;6;0;0;28,3;700;0;200;82,1;0,9;0;0;159,5;0;5,1;0;0;1417,9;500;0;0;0;26,9;0;673;0;0,3;0;0,9;1,1;2,3;0
"Spargel weiß gegart";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;36;28;0;0;0;32;0;1;0;0;113;73;0;0;0;2;0;3;0;0;0;0;0;1;0
"Sojaerzeugnisse";0;0;0;0;22;0;0;0;0;0;0;22;0;65;0;0;43;5080;0;3257;1635;0;0;0;2324;0;43;0;0;21715;13378;0;0;0;781;0;4994;0;0;0;0;0;43;0
"Marmorkuchen aus Rührmasse";0;632;141;475;0;0;0;0;0;0;0;581;0;102;0;0;36;6743;0;12267;1535;159;176;0;5510;0;541;404;1036;18425;1155;704;0;0;2076;0;5621;229;211;123;0;0;1888;246
"Weichkäse aus Ziegenmilch (45% Fett i. Tr.)";0;742;54;556;0;0;0;0;0;0;0;680;0;103;0;0;41;6571;0;13226;1199;185;206;0;5686;0;536;474;1216;18560;803;824;0;0;2081;0;5356;268;247;144;0;0;2204;288
"Landjäger";0;0;59;0;0;0;0;0;0;0;0;78;0;17;0;0;327;21039;0;16393;2565;111;20;0;9932;0;1581;0;0;41879;4447;0;0;0;5503;0;18990;0;54;0;0;0;698;121
"Zuckererbsen frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;42;40;0;0;0;36;0;0;0;0;160;95;0;0;0;4;0;23;0;0;0;0;0;2;0
"Weizen Grieß gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;11;22;0;0;0;10;0;0;0;0;57;37;0;0;0;1;0;9;0;0;0;0;0;0;0
"Feldsalat frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;68;72;0;0;0;58;0;3;0;0;288;207;0;0;0;4;0;10;0;0;0;0;0;6;0
"Hafer ganzes Korn roh";0;0;0;0;0;0;0;0;0;0;0;7;0;33;0;0;7;2521;0;1470;425;0;0;0;1280;0;54;0;0;6858;2867;0;0;0;110;0;2460;0;0;0;0;0;40;0
"Weißbrot-Weizentoastbrot";0;0;0;35;37;146;0;0;0;0;0;123;0;42;0;0;149;997;0;1148;319;12;0;0;514;0;125;2;2;2937;873;79;20;0;204;0;575;44;3;0;0;0;132;2
"Walnüsse";0;0;0;0;0;0;0;0;0;0;0;0;0;417;0;0;476;10115;0;6725;3000;0;0;0;4403;0;119;0;0;59500;42660;0;0;0;1250;0;9520;0;0;0;0;0;655;0
"Konfitüre Gelee Marmeladen";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;0;34;29;0;0;0;28;0;1;0;0;120;77;0;0;0;4;0;8;0;0;0;0;0;1;0
"Kiwi frisch";0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;106;0;149;126;0;0;0;121;0;5;0;0;504;249;0;0;0;20;0;101;0;0;0;0;0;5;0
"Haselnusspastete";0;0;59;0;0;0;0;0;0;0;0;34;0;20;0;0;159;12433;0;6806;1291;22;10;0;4185;0;561;0;0;21787;2548;0;0;0;2292;0;11703;0;10;0;0;0;243;0
"Lachs tiefgefroren";0;0;35;0;6;308;0;0;0;0;0;0;0;6;0;0;479;2447;0;1616;634;57;0;34;1033;0;342;0;0;5706;1643;0;0;0;211;0;1312;0;29;0;0;6;274;0
"Pumpernickel";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;6;106;0;135;266;0;0;0;128;0;3;0;0;693;452;0;0;0;4;0;97;0;0;0;0;0;1;0
"Kaiserjagdwurst Konserve";0;0;59;0;0;0;0;0;0;0;0;31;0;10;0;0;145;7869;0;6037;999;23;10;0;3690;0;515;0;0;15782;1876;0;0;0;2054;0;7199;0;10;0;0;0;219;0
"Mais-Vollkornfladenbrot";0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;604;0;312;380;0;0;0;263;0;7;0;0;2330;1414;0;0;0;42;0;597;0;0;0;0;0;0;0
"Honig";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vollkornbrot mit Sonnenblumenkernen";0;0;0;0;14;2;0;0;0;0;0;1;0;9;0;0;10;554;0;367;344;0;0;0;239;0;5;0;0;2596;1675;0;0;0;97;0;537;0;0;0;4;0;3;0
"Schaf Muskelfleisch";0;0;65;6;0;0;0;0;0;0;0;6;0;16;0;0;6;1595;0;1460;451;32;32;0;763;0;84;0;0;3243;194;6;0;0;504;0;1454;0;19;0;0;0;114;19
"Rind Lunge frisch";0;0;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;626;0;966;676;0;0;0;644;0;59;0;0;1954;362;0;0;0;293;0;567;0;0;0;0;0;29;0
"Pak Choi frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;74;60;0;0;0;66;0;4;0;0;240;125;0;0;0;8;0;37;0;0;0;0;0;0;0
"Champignon frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;58;48;0;0;0;53;0;1;0;0;192;131;0;0;0;4;0;2;0;0;0;0;0;1;0
"Knoblauchwurst einfach";0;0;50;0;0;0;0;0;0;0;0;57;0;2;0;0;210;16371;0;12898;1705;92;5;0;7746;0;1306;0;0;32470;3201;0;0;0;4362;0;14696;0;51;0;0;0;588;154
"Wurzelpetersilie frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;82;94;0;0;0;75;0;0;0;0;376;249;0;0;0;4;0;45;0;0;0;0;0;3;0
"Apfel Fruchtsaft";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;16;1;0;0;0;10;0;0;0;0;39;21;0;0;0;3;0;2;0;0;0;0;0;1;0
"Beerenobst";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;118;60;0;0;0;102;0;0;0;0;240;107;0;0;0;13;0;15;0;0;0;0;0;3;0
"Pecannuss frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;482;44672;0;6195;3168;0;0;0;4405;0;275;0;0;68832;17965;0;0;0;1790;0;43915;0;0;0;0;0;0;0
"Schweinefilet im Netz                   ";0;114;68;86;0;36;0;0;0;0;0;112;0;22;0;0;58;3188;0;3665;547;42;38;0;1887;0;229;72;186;7194;654;127;0;0;844;0;2758;41;43;22;0;2;402;45
"Geflügelwiener Würstchen";0;0;40;0;0;1;0;0;0;0;0;10;0;7;0;0;42;2053;0;1952;352;8;20;0;1104;0;86;0;0;4509;504;0;0;0;747;0;1904;0;5;0;0;0;71;0
"Spekulatius aus Mürbeteig";0;642;97;482;0;0;0;0;0;0;0;591;0;106;0;0;42;9642;0;12344;1634;161;179;0;5596;0;542;410;1052;22244;2024;714;0;0;1982;0;8505;232;215;124;0;0;1927;250
"Mosaik-, Schachbrettpastete und andere";0;0;59;0;0;0;0;0;0;0;0;42;0;10;0;0;186;10369;0;7962;1222;21;10;0;4856;0;669;0;0;20822;2491;0;0;0;2739;0;9504;0;10;0;0;0;284;0
"Kresse frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;93;140;0;0;0;87;0;10;0;0;493;386;0;0;0;6;0;4;0;0;0;0;0;0;0
"Banane frisch";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;23;0;68;36;0;0;0;60;0;3;0;0;143;53;1;0;0;5;0;20;0;0;0;0;0;1;0
"Rumpsteak (Zubereitung Großküche)";0;0;85;0;0;0;0;0;0;0;0;4;0;12;0;0;8;1853;0;1902;364;44;40;0;1029;0;139;0;0;3967;212;0;0;0;674;0;1626;0;20;0;0;0;119;40
"Linsen reif frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;11;239;0;205;315;0;0;0;181;0;0;0;0;1085;641;0;0;0;12;0;228;0;0;0;0;0;0;0
"Oliven";0;0;0;0;13;0;0;0;0;0;0;0;0;53;0;0;40;9940;0;2046;612;13;0;0;1595;0;133;0;0;13288;1302;0;0;0;332;0;9767;0;0;0;13;0;27;0
"Müsli";0;0;0;0;4;1;0;0;0;0;0;3;0;23;0;0;9;3540;0;914;596;0;0;0;732;0;24;0;0;6670;2216;0;0;0;134;0;3506;0;0;0;1;0;17;0
"Kokosflocken aus Fondant";0;0;0;559;0;0;0;0;0;0;0;4039;0;77;0;0;0;542;0;7908;529;0;0;0;757;0;26;60;60;7332;146;1204;0;0;258;0;516;645;0;0;0;0;1513;0
"Gouda mind. 10% Fett i. Tr.";0;544;37;408;0;0;0;0;0;0;0;499;0;76;0;0;30;4823;0;9707;880;136;151;0;4173;0;393;348;892;13623;590;605;0;0;1527;0;3931;197;181;106;0;0;1618;212
"Gelee einfach";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;29;24;0;0;0;23;0;1;0;0;98;61;0;0;0;4;0;7;0;0;0;0;0;1;0
"Tomatensoße italienisch (Zubereitung Großküche)";0;0;1;0;2;0;0;0;0;0;0;15;0;11;0;0;14;2365;0;1061;320;12;8;0;696;0;75;0;0;3870;445;1;0;0;270;0;2260;1;5;0;2;0;47;8
"Kohlrabi frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;15;20;0;0;0;13;0;0;0;0;80;57;0;0;0;1;0;8;0;0;0;0;0;1;0
"Kokosnuss";0;0;0;2164;0;0;0;0;0;0;0;15935;0;334;0;0;0;2193;0;31555;2082;0;0;0;3049;0;128;237;237;29262;669;4918;0;0;1082;0;2065;2754;0;0;0;0;6000;0
"Obstsalat süßsauer (Zubereitung Haushalt)";0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;5;154;0;132;87;0;0;0;98;0;4;0;0;871;585;0;0;0;19;0;145;0;0;0;0;0;9;0
"Kalbfleischsülze";0;0;55;0;0;0;0;0;0;0;0;2;0;1;0;0;5;1133;0;1149;774;28;28;0;604;0;101;0;0;2469;187;0;0;0;393;0;966;0;18;0;0;0;103;33
"Salami ungarische Art";0;0;76;0;0;0;0;0;0;0;0;61;0;3;0;0;248;15194;0;11582;1669;6;3;0;7018;0;980;0;0;30454;3678;0;0;0;4085;0;13963;0;3;0;0;0;406;0
"Muffins mit Schokolade";0;5;37;9;0;236;0;0;0;0;0;64;0;91;0;0;263;4556;0;4584;693;1;1;0;2308;0;234;3;8;10841;1725;16;0;0;1923;0;3819;7;2;1;0;0;171;2
"Graubrot-Weizenmischbrot mit Sonnenblumenkernen";0;0;0;0;15;2;0;0;0;0;0;1;0;11;0;0;7;587;0;372;318;0;0;0;230;0;5;0;0;2687;1728;0;0;0;108;0;573;0;0;0;4;0;3;0
"Aprikose - Marille";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;7;17;0;0;0;6;0;44;0;0;113;19;0;0;0;1;0;43;0;0;0;0;0;0;0
"Schinkenroulade";0;0;70;0;0;0;0;0;0;0;0;40;0;23;0;0;204;10317;0;7792;1540;51;21;0;4804;0;687;0;0;20532;2423;0;0;0;2559;0;9405;0;21;0;0;0;294;0
"Kartoffelsalat mit grüner Gurke und Mayonnaise (Zubereitung Gastronomie)";0;5;13;130;0;0;0;0;0;0;0;343;0;22;0;0;1;1801;0;2165;240;3;3;0;953;0;32;3;8;4313;655;300;0;0;261;0;1760;170;2;1;0;0;273;4
"Brötchen-Roggenbrötchen mit Sonnenblumenkernen";0;0;0;0;15;2;0;0;0;0;0;1;0;9;0;0;8;600;0;390;353;0;0;0;249;0;5;0;0;2798;1808;0;0;0;109;0;585;0;0;0;4;0;3;0
"Leberwurst einfach";0;0;122;11;2;0;0;0;0;0;0;57;0;39;0;0;238;14155;0;11761;1992;57;26;0;6972;0;922;0;0;29301;3396;11;0;0;4182;0;12936;0;20;12;0;0;421;21
"Bohnen grün tiefgefroren gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;56;53;0;0;0;47;0;1;0;0;210;145;0;0;0;9;0;8;0;0;0;0;0;0;0
